listing_name,condition,link,price,date,location
Easy Pencil Pro 3 Ipad Apple GWARANCJA rysik ipad,Nowe,https://www.olx.pl//d/oferta/easy-pencil-pro-3-ipad-apple-gwarancja-rysik-ipad-CID99-IDSM13c.html,150 PLN,Borek Fałęcki,"Kraków, Łagiewniki"
Apple Pencil  Original,Uszkodzone,https://www.olx.pl//d/oferta/apple-pencil-original-CID99-IDT4yGe.html,170 PLN,09 lutego 2023,"Kraków, Podgórze Duchackie"
Nowy Apple Pencil 1 gen. Problem z baterią!!,Uszkodzone,https://www.olx.pl//d/oferta/nowy-apple-pencil-1-gen-problem-z-bateria-CID99-IDT8tBK.html,249 PLN,13 lutego 2023,"Warszawa, Wola"
"rysik Apple Pencil 2 do Ipada, tabletów, urządzeń mobilnych",Nowe,https://www.olx.pl//d/oferta/rysik-apple-pencil-2-do-ipada-tabletow-urzadzen-mobilnych-CID99-IDTrv4h.html,300 PLN,03 marca 2023,"Katowice, Bogucice"
Idealny Apple Pencil 1 gen w PERFEKCYJNYM stanie!,Używane,https://www.olx.pl//d/oferta/idealny-apple-pencil-1-gen-w-perfekcyjnym-stanie-CID99-IDThr0V.html,379 PLN,07 marca 2023,"Gdańsk, Jasień"
Idealny Apple Pencil 1 gen w PERFEKCYJNYM stanie!,Używane,https://www.olx.pl//d/oferta/idealny-apple-pencil-1-gen-w-perfekcyjnym-stanie-CID99-IDTqykO.html,380 PLN,02 marca 2023,"Gdańsk, Jasień"
"Apple Pencil 1 generacji jak nowy pudełko , 2-ga końcówka (mam 10 szt)",Używane,https://www.olx.pl//d/oferta/apple-pencil-1-generacji-jak-nowy-pudelko-2-ga-koncowka-mam-10-szt-CID99-IDTmh4P.html,399 PLN,26 lutego 2023,Otomin
Apple Pencil 1 gen. Model 1603,Używane,https://www.olx.pl//d/oferta/apple-pencil-1-gen-model-1603-CID99-IDTwAsW.html,400 PLN,Dzisiaj o 08:40,"Jelenia Góra, Zabobrze"
Ładowarka Watch Apple gratis!! Pencil Case Apple,Nowe,https://www.olx.pl//d/oferta/ladowarka-watch-apple-gratis-pencil-case-apple-CID99-IDT70Dx.html,400 PLN,12 lutego 2023,Pomiechówek
Apple Pencil gen 1,Używane,https://www.olx.pl//d/oferta/apple-pencil-gen-1-CID99-IDSZdze.html,420 PLN,05 marca 2023,Sieradz
apple pencil 1st generation,Używane,https://www.olx.pl//d/oferta/apple-pencil-1st-generation-CID99-IDTtiW9.html,429 PLN,05 marca 2023,"Gdańsk, Wrzeszcz"
Apple Pencil/ rysik do iPada,Używane,https://www.olx.pl//d/oferta/apple-pencil-rysik-do-ipada-CID99-IDTuuKS.html,430 PLN,07 marca 2023,"Poznań, Starołęka"
Apple Pencil 1. generacji,Używane,https://www.olx.pl//d/oferta/apple-pencil-1-generacji-CID99-IDTscWe.html,450 PLN,04 marca 2023,"Białystok, Bojary"
Apple Pencil 1 generacji,Używane,https://www.olx.pl//d/oferta/apple-pencil-1-generacji-CID99-IDToHFz.html,450 PLN,01 marca 2023,"Wrocław, Stare Miasto"
